dataset,threshold,entity_id,deleted_records,touched_components,touched_records,deleted_group_tags,inserted_group_tags,witnessed_wur,changed_surviving_records
febrl2,0.72,677,1,1,1,1,0,1,0
febrl2,0.72,1327,1,1,1,1,0,1,0
febrl2,0.72,129,1,1,1,1,0,1,0
febrl2,0.72,3608,2,1,2,1,0,1,0
febrl2,0.72,1443,2,1,2,1,0,1,0
febrl2,0.72,2676,1,1,1,1,0,1,0
febrl2,0.72,3318,5,1,5,1,0,1,0
febrl2,0.72,1158,1,1,1,1,0,1,0
febrl2,0.72,3294,1,1,1,1,0,1,0
febrl2,0.72,3772,1,1,1,1,0,1,0
febrl2,0.72,1380,1,1,1,1,0,1,0
febrl2,0.72,3525,1,1,1,1,0,1,0
febrl2,0.72,641,5,1,5,1,0,1,0
febrl2,0.72,567,4,1,4,1,0,1,0
febrl2,0.72,3841,2,1,2,1,0,1,0
febrl2,0.72,2366,1,1,1,1,0,1,0
febrl2,0.72,2654,1,1,1,1,0,1,0
febrl2,0.72,3643,1,1,1,1,0,1,0
febrl2,0.72,2987,1,1,3,1,1,2,2
febrl2,0.72,1385,1,1,1,1,0,1,0
febrl2,0.72,2108,4,1,6,1,2,3,2
febrl2,0.72,486,3,1,3,1,0,1,0
febrl2,0.72,2169,5,1,5,1,0,1,0
febrl2,0.72,1870,1,1,1,1,0,1,0
febrl2,0.72,1177,1,1,1,1,0,1,0
febrl2,0.72,1477,4,1,4,1,0,1,0
febrl2,0.72,2368,4,1,4,1,0,1,0
febrl2,0.72,2916,3,1,3,1,0,1,0
febrl2,0.72,2023,1,1,1,1,0,1,0
febrl2,0.72,1544,6,2,6,2,0,2,0
febrl2,0.72,2407,1,1,1,1,0,1,0
febrl2,0.72,3753,1,1,1,1,0,1,0
febrl2,0.72,3563,5,1,5,1,0,1,0
febrl2,0.72,2490,1,1,1,1,0,1,0
febrl2,0.72,95,1,1,1,1,0,1,0
febrl2,0.72,3370,1,1,1,1,0,1,0
febrl2,0.72,3035,1,1,1,1,0,1,0
febrl2,0.72,3428,2,1,2,1,0,1,0
febrl2,0.72,218,5,1,5,1,0,1,0
febrl2,0.72,2710,1,1,1,1,0,1,0
febrl2,0.72,3193,6,1,6,1,0,1,0
febrl2,0.72,3397,1,1,1,1,0,1,0
febrl2,0.72,3911,1,1,1,1,0,1,0
febrl2,0.72,2044,5,1,5,1,0,1,0
febrl2,0.72,3514,1,1,1,1,0,1,0
febrl2,0.72,597,1,1,1,1,0,1,0
febrl2,0.72,3411,1,1,1,1,0,1,0
febrl2,0.72,1302,1,1,1,1,0,1,0
febrl2,0.72,299,1,1,1,1,0,1,0
febrl2,0.72,3877,1,1,1,1,0,1,0
febrl2,0.72,2126,4,1,4,1,0,1,0
febrl2,0.72,3456,1,1,1,1,0,1,0
febrl2,0.72,3551,1,1,1,1,0,1,0
febrl2,0.72,948,1,1,1,1,0,1,0
febrl2,0.72,2644,1,1,1,1,0,1,0
febrl2,0.72,2272,1,1,1,1,0,1,0
febrl2,0.72,760,1,1,1,1,0,1,0
febrl2,0.72,504,1,1,1,1,0,1,0
febrl2,0.72,370,3,1,3,1,0,1,0
febrl2,0.72,3096,1,1,1,1,0,1,0
febrl2,0.72,764,1,1,1,1,0,1,0
febrl2,0.72,3219,1,1,10,1,2,3,9
febrl2,0.72,3597,1,1,2,1,1,2,1
febrl2,0.72,2029,4,1,4,1,0,1,0
febrl2,0.72,3385,1,1,1,1,0,1,0
febrl2,0.72,3157,1,1,1,1,0,1,0
febrl2,0.72,2789,1,1,1,1,0,1,0
febrl2,0.72,1490,1,1,1,1,0,1,0
febrl2,0.72,740,1,1,1,1,0,1,0
febrl2,0.72,194,3,1,3,1,0,1,0
febrl2,0.72,3682,1,1,1,1,0,1,0
febrl2,0.72,2162,1,1,1,1,0,1,0
febrl2,0.72,1882,4,1,4,1,0,1,0
febrl2,0.72,1341,1,1,1,1,0,1,0
febrl2,0.72,3064,1,1,1,1,0,1,0
febrl2,0.72,3645,1,1,1,1,0,1,0
febrl2,0.72,134,4,2,4,2,0,2,0
febrl2,0.72,2609,1,1,1,1,0,1,0
febrl2,0.72,1888,2,1,3,1,1,2,1
febrl2,0.72,102,1,1,2,1,1,2,1
febrl2,0.72,3346,1,1,2,1,1,2,1
febrl2,0.72,2756,2,1,2,1,0,1,0
febrl2,0.72,620,4,1,6,1,1,2,2
febrl2,0.72,815,1,1,1,1,0,1,0
febrl2,0.72,1758,1,1,1,1,0,1,0
febrl2,0.72,763,1,1,1,1,0,1,0
febrl2,0.72,2927,2,1,2,1,0,1,0
febrl2,0.72,3033,3,1,3,1,0,1,0
febrl2,0.72,2339,1,1,1,1,0,1,0
febrl2,0.72,1517,1,1,2,1,1,2,1
febrl2,0.72,2895,1,1,1,1,0,1,0
febrl2,0.72,1964,3,1,3,1,0,1,0
febrl2,0.72,3675,1,1,1,1,0,1,0
febrl2,0.72,3720,1,1,1,1,0,1,0
febrl2,0.72,1565,1,1,1,1,0,1,0
febrl2,0.72,2635,3,1,3,1,0,1,0
febrl2,0.72,131,1,1,1,1,0,1,0
febrl2,0.72,868,1,1,1,1,0,1,0
febrl2,0.72,3709,1,1,1,1,0,1,0
febrl2,0.72,1077,4,1,4,1,0,1,0
febrl2,0.72,1848,1,1,1,1,0,1,0
febrl2,0.72,705,6,1,8,1,2,3,2
febrl2,0.72,481,1,1,1,1,0,1,0
febrl2,0.72,1347,1,1,1,1,0,1,0
febrl2,0.72,3978,1,1,10,1,3,4,9
febrl2,0.72,3507,5,1,5,1,0,1,0
febrl2,0.72,2657,3,1,3,1,0,1,0
febrl2,0.72,3333,1,1,1,1,0,1,0
febrl2,0.72,1880,1,1,1,1,0,1,0
febrl2,0.72,1495,1,1,1,1,0,1,0
febrl2,0.72,3593,1,1,1,1,0,1,0
febrl2,0.72,1736,1,1,1,1,0,1,0
febrl2,0.72,1471,1,1,1,1,0,1,0
febrl2,0.72,2099,1,1,1,1,0,1,0
febrl2,0.72,3262,1,1,1,1,0,1,0
febrl2,0.72,2291,1,1,1,1,0,1,0
febrl2,0.72,876,1,1,1,1,0,1,0
febrl2,0.72,3919,1,1,1,1,0,1,0
febrl2,0.72,1391,1,1,1,1,0,1,0
febrl2,0.72,3902,1,1,1,1,0,1,0
febrl2,0.72,229,1,1,1,1,0,1,0
febrl2,0.72,324,1,1,1,1,0,1,0
febrl2,0.72,148,1,1,1,1,0,1,0
